reaction,product,Coefficient of reactants,reaction list,Feature,,,,,,,,,,,,,,,,△G,△G_norm
TP51,TP69,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.78,-8.21,7.94,5.51,-8.02,0.687805191
TP52,TP69,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.75,-8.21,7.91,5.51,-8.01,0.687869442
TP53,TP67,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.68,-7.75,8.01,6.5,-7.1,0.693716268
TP53,TP68,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.537,-0.537,0,-0.716,0,0,0,-0.716,0.537,0,2.507,0,0,-7.68,-7.38,8.01,6,-6.99,0.694423027
TP51,TP67,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.78,-7.75,7.94,6.5,-6.83,0.695451041
TP52,TP67,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.75,-7.75,7.91,6.5,-6.82,0.695515292
TP51,TP68,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.78,-7.38,7.94,6,-6.72,0.6961578
TP52,TP68,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.75,-7.38,7.91,6,-6.71,0.696222051
TP51,TP63,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.78,-6.1,7.94,5.1,-6.6,0.69692881
TP52,TP63,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.75,-6.1,7.91,5.1,-6.59,0.696993061
TP51,TP66,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.78,-8.19,7.94,5.49,-6.36,0.69847083
TP51,TP65,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.78,-7.6,7.94,5.86,-6.35,0.698535081
TP52,TP66,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.75,-8.19,7.91,5.49,-6.35,0.698535081
TP52,TP65,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.75,-7.6,7.91,5.86,-6.33,0.698663583
TP51,TP61,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.78,-7.58,7.94,5.92,-6.15,0.699820098
TP52,TP61,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.75,-7.58,7.91,5.92,-6.14,0.699884348
TP51,TP64,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.78,-7.24,7.94,5.55,-6.12,0.70001285
TP52,TP64,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.75,-7.24,7.91,5.55,-6.11,0.700077101
TP51,TP62,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.78,-7.89,7.94,6.41,-5.97,0.700976613
TP52,TP62,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.75,-7.89,7.91,6.41,-5.96,0.701040864
TP51,TP69,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.78,-8.21,7.94,5.51,-5.8,0.702068877
TP52,TP69,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.75,-8.21,7.91,5.51,-5.79,0.702133128
TP53,TP67,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.68,-7.75,8.01,6.5,-4.99,0.707273195
TP53,TP68,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.537,-0.537,0,0,-2.149,0,0,0,0.537,0,3.224,0,0,-7.68,-7.38,8.01,6,-4.88,0.707979954
TP51,TP62,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.78,-7.89,7.94,6.41,-4.1,0.712991519
TP52,TP62,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.75,-7.89,7.91,6.41,-4.09,0.71305577
TP51,TP61,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.78,-7.58,7.94,5.92,-3.93,0.714083783
TP52,TP61,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.75,-7.58,7.91,5.92,-3.92,0.714148034
TP53,TP67,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.68,-7.75,8.01,6.5,-2.77,0.72153688
TP53,TP68,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.537,-0.537,-0.537,0,0,0,0,0,0.537,0,2.149,0,0,-7.68,-7.38,8.01,6,-2.67,0.722179388
TP41,TP53,C15H18O5+ 6h+ + 3H2O = C14H18O6 + CO2 + 6H+,0.778,-0.778,0,0,0,0,-4.667,4.667,0.778,0.778,-2.333,0,0,-7.94,-7.68,7.14,8.01,-19.72,0.612631714
TP42,TP53,C15H18O5+ 6h+ + 3H2O = C14H18O6 + CO2 + 6H+,0.778,-0.778,0,0,0,0,-4.667,4.667,0.778,0.778,-2.333,0,0,-7.84,-7.68,7.02,8.01,-18.71,0.619121049
TP51,TP67,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.78,-7.75,7.94,6.5,-16.15,0.635569262
TP52,TP67,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.75,-7.75,7.91,6.5,-16.13,0.635697764
TP51,TP68,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.78,-7.38,7.94,6,-15.99,0.636597276
TP52,TP68,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.75,-7.38,7.91,6,-15.97,0.636725777
TP51,TP63,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.78,-6.1,7.94,5.1,-15.81,0.637753791
TP52,TP63,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.75,-6.1,7.91,5.1,-15.79,0.637882292
TP51,TP66,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.78,-8.19,7.94,5.49,-15.46,0.64000257
TP51,TP65,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.78,-7.6,7.94,5.86,-15.45,0.640066821
TP52,TP66,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.75,-8.19,7.91,5.49,-15.44,0.640131072
TP52,TP65,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.75,-7.6,7.91,5.86,-15.42,0.640259573
TP51,TP64,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.78,-7.24,7.94,5.55,-15.12,0.642187098
TP52,TP64,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.75,-7.24,7.91,5.55,-15.1,0.6423156
TP51,TP69,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.78,-8.21,7.94,5.51,-14.66,0.645142637
TP52,TP69,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.75,-8.21,7.91,5.51,-14.65,0.645206888
TP41,TP52,C15H18O5+ 6h+ + 3H2O = C14H18O6 + CO2 + 6H+,0.778,-0.778,0,0,0,0,-4.667,4.667,0.778,0.778,-2.333,0,0,-7.94,-7.75,7.14,7.91,-13.87,0.650218453
TP41,TP51,C15H18O5+ 6h+ + 3H2O = C14H18O6 + CO2 + 6H+,0.778,-0.778,0,0,0,0,-4.667,4.667,0.778,0.778,-2.333,0,0,-7.94,-7.78,7.14,7.94,-13.85,0.650346955
TP43,TP53,C15H18O5+ 6h+ + 3H2O = C14H18O6 + CO2 + 6H+,0.778,-0.778,0,0,0,0,-4.667,4.667,0.778,0.778,-2.333,0,0,-7.92,-7.68,7.12,8.01,-13.17,0.654716011
TP51,TP67,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.778,-0.778,0,0,-3.111,0,0,0,0.778,0,4.667,0,0,-7.78,-7.75,7.94,6.5,-13.1,0.655165767
TP52,TP67,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.778,-0.778,0,0,-3.111,0,0,0,0.778,0,4.667,0,0,-7.75,-7.75,7.91,6.5,-13.08,0.655294269
TP51,TP68,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.778,-0.778,0,0,-3.111,0,0,0,0.778,0,4.667,0,0,-7.78,-7.38,7.94,6,-12.94,0.656193781
TP52,TP68,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.778,-0.778,0,0,-3.111,0,0,0,0.778,0,4.667,0,0,-7.75,-7.38,7.91,6,-12.92,0.656322282
TP42,TP52,C15H18O5+ 6h+ + 3H2O = C14H18O6 + CO2 + 6H+,0.778,-0.778,0,0,0,0,-4.667,4.667,0.778,0.778,-2.333,0,0,-7.84,-7.75,7.02,7.91,-12.86,0.656707787
TP42,TP51,C15H18O5+ 6h+ + 3H2O = C14H18O6 + CO2 + 6H+,0.778,-0.778,0,0,0,0,-4.667,4.667,0.778,0.778,-2.333,0,0,-7.84,-7.78,7.02,7.94,-12.84,0.656836289
TP51,TP63,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.778,-0.778,0,0,-3.111,0,0,0,0.778,0,4.667,0,0,-7.78,-6.1,7.94,5.1,-12.77,0.657286045
TP52,TP63,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.778,-0.778,0,0,-3.111,0,0,0,0.778,0,4.667,0,0,-7.75,-6.1,7.91,5.1,-12.75,0.657414546
TP51,TP66,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.778,-0.778,0,0,-3.111,0,0,0,0.778,0,4.667,0,0,-7.78,-8.19,7.94,5.49,-12.41,0.659599075
TP51,TP65,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.778,-0.778,0,0,-3.111,0,0,0,0.778,0,4.667,0,0,-7.78,-7.6,7.94,5.86,-12.4,0.659663326
TP52,TP66,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.778,-0.778,0,0,-3.111,0,0,0,0.778,0,4.667,0,0,-7.75,-8.19,7.91,5.49,-12.4,0.659663326
TP52,TP65,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.778,-0.778,0,0,-3.111,0,0,0,0.778,0,4.667,0,0,-7.75,-7.6,7.91,5.86,-12.38,0.659791827
TP51,TP62,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.78,-7.89,7.94,6.41,-12.19,0.661012593
TP52,TP62,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.75,-7.89,7.91,6.41,-12.18,0.661076844
TP51,TP64,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.778,-0.778,0,0,-3.111,0,0,0,0.778,0,4.667,0,0,-7.78,-7.24,7.94,5.55,-12.07,0.661783603
TP52,TP64,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.778,-0.778,0,0,-3.111,0,0,0,0.778,0,4.667,0,0,-7.75,-7.24,7.91,5.55,-12.06,0.661847854
TP51,TP61,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.78,-7.58,7.94,5.92,-11.95,0.662554613
TP52,TP61,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.75,-7.58,7.91,5.92,-11.93,0.662683115
TP51,TP69,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.778,-0.778,0,0,-3.111,0,0,0,0.778,0,4.667,0,0,-7.78,-8.21,7.94,5.51,-11.61,0.664739142
TP52,TP69,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.778,-0.778,0,0,-3.111,0,0,0,0.778,0,4.667,0,0,-7.75,-8.21,7.91,5.51,-11.6,0.664803392
TP53,TP67,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.68,-7.75,8.01,6.5,-10.27,0.673348754
TP53,TP68,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,0.778,-0.778,0,-1.037,0,0,0,-1.037,0.778,0,3.63,0,0,-7.68,-7.38,8.01,6,-10.11,0.674376767
TP51,TP67,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.778,-0.778,-0.778,0,0,0,0,0,0.778,0,3.111,0,0,-7.78,-7.75,7.94,6.5,-9.89,0.675790285
TP52,TP67,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.778,-0.778,-0.778,0,0,0,0,0,0.778,0,3.111,0,0,-7.75,-7.75,7.91,6.5,-9.87,0.675918787
TP51,TP68,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.778,-0.778,-0.778,0,0,0,0,0,0.778,0,3.111,0,0,-7.78,-7.38,7.94,6,-9.73,0.676818299
TP52,TP68,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.778,-0.778,-0.778,0,0,0,0,0,0.778,0,3.111,0,0,-7.75,-7.38,7.91,6,-9.71,0.6769468
TP51,TP63,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.778,-0.778,-0.778,0,0,0,0,0,0.778,0,3.111,0,0,-7.78,-6.1,7.94,5.1,-9.56,0.677910563
TP52,TP63,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.778,-0.778,-0.778,0,0,0,0,0,0.778,0,3.111,0,0,-7.75,-6.1,7.91,5.1,-9.54,0.678039065
TP51,TP66,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.778,-0.778,-0.778,0,0,0,0,0,0.778,0,3.111,0,0,-7.78,-8.19,7.94,5.49,-9.2,0.680223593
TP51,TP65,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.778,-0.778,-0.778,0,0,0,0,0,0.778,0,3.111,0,0,-7.78,-7.6,7.94,5.86,-9.19,0.680287844
TP52,TP66,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.778,-0.778,-0.778,0,0,0,0,0,0.778,0,3.111,0,0,-7.75,-8.19,7.91,5.49,-9.19,0.680287844
TP52,TP65,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.778,-0.778,-0.778,0,0,0,0,0,0.778,0,3.111,0,0,-7.75,-7.6,7.91,5.86,-9.17,0.680416345
TP51,TP62,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.778,-0.778,0,0,-3.111,0,0,0,0.778,0,4.667,0,0,-7.78,-7.89,7.94,6.41,-9.15,0.680544847
TP52,TP62,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.778,-0.778,0,0,-3.111,0,0,0,0.778,0,4.667,0,0,-7.75,-7.89,7.91,6.41,-9.13,0.680673349
TP51,TP61,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.778,-0.778,0,0,-3.111,0,0,0,0.778,0,4.667,0,0,-7.78,-7.58,7.94,5.92,-8.9,0.682151118
TP52,TP61,C14H18O6 + 4·OH = C14H10O4 + 6H2O,0.778,-0.778,0,0,-3.111,0,0,0,0.778,0,4.667,0,0,-7.75,-7.58,7.91,5.92,-8.88,0.68227962
TP51,TP64,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.778,-0.778,-0.778,0,0,0,0,0,0.778,0,3.111,0,0,-7.78,-7.24,7.94,5.55,-8.86,0.682408121
TP52,TP64,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.778,-0.778,-0.778,0,0,0,0,0,0.778,0,3.111,0,0,-7.75,-7.24,7.91,5.55,-8.84,0.682536623
TP51,TP69,C14H18O6 + 1O2 = C14H10O4 + 4H2O,0.778,-0.778,-0.778,0,0,0,0,0,0.778,0,3.111,0,0,-7.78,-8.21,7.94,5.51,-8.4,0.68536366
